pitch_deg,yaw_deg
-15.0,5.400000000000006
-15.0,4.7250000000000085
-15.0,4.050000000000011
-15.0,3.375
-15.0,2.700000000000003
-15.0,2.0250000000000057
-15.0,1.3500000000000085
-15.0,0.6750000000000114
-15.0,0.0
-15.0,-0.6749999999999972
-15.0,-1.3499999999999943
-15.0,-2.0249999999999915
-15.0,-2.6999999999999886
-15.0,-3.375
-15.0,-4.049999999999997
-15.0,-4.724999999999994
-15.0,-5.3999999999999915
-15.0,-6.074999999999989
-15.0,-6.75
-15.0,-7.424999999999997
-15.0,-8.099999999999994
-15.0,-8.774999999999991
-15.0,-9.449999999999989
-15.0,-10.125
-15.0,-10.799999999999997
-13.0,-14.849999999999994
-13.0,-14.174999999999997
-13.0,-13.5
-13.0,-12.824999999999989
-13.0,-12.149999999999991
-13.0,-11.474999999999994
-13.0,-10.799999999999997
-13.0,-10.125
-13.0,-9.449999999999989
-13.0,-8.774999999999991
-13.0,-8.099999999999994
-13.0,-7.424999999999997
-13.0,-6.75
-13.0,-6.074999999999989
-13.0,-5.3999999999999915
-13.0,-4.724999999999994
-13.0,-4.049999999999997
-13.0,-3.375
-13.0,-2.6999999999999886
-13.0,-2.0249999999999915
-13.0,-1.3499999999999943
-13.0,-0.6749999999999972
-13.0,0.0
-13.0,0.6750000000000114
-13.0,1.3500000000000085
-13.0,2.0250000000000057
-13.0,2.700000000000003
-13.0,3.375
-13.0,4.050000000000011
-13.0,4.7250000000000085
-11.0,4.7250000000000085
-11.0,4.050000000000011
-11.0,3.375
-11.0,2.700000000000003
-11.0,2.0250000000000057
-11.0,1.3500000000000085
-11.0,0.6750000000000114
-11.0,0.0
-11.0,-0.6749999999999972
-11.0,-1.3499999999999943
-11.0,-2.0249999999999915
-11.0,-2.6999999999999886
-11.0,-3.375
-11.0,-4.049999999999997
-11.0,-4.724999999999994
-11.0,-5.3999999999999915
-11.0,-6.074999999999989
-11.0,-6.75
-11.0,-7.424999999999997
-11.0,-8.099999999999994
-11.0,-8.774999999999991
-11.0,-9.449999999999989
-11.0,-10.125
-11.0,-10.799999999999997
-11.0,-11.474999999999994
-11.0,-12.149999999999991
-11.0,-12.824999999999989
-11.0,-13.5
-11.0,-14.174999999999997
-9.0,-13.5
-9.0,-12.824999999999989
-9.0,-12.149999999999991
-9.0,-11.474999999999994
-9.0,-10.799999999999997
-9.0,-10.125
-9.0,-9.449999999999989
-9.0,-8.774999999999991
-9.0,-8.099999999999994
-9.0,-7.424999999999997
-9.0,-6.75
-9.0,-6.074999999999989
-9.0,-5.3999999999999915
-9.0,-4.724999999999994
-9.0,-4.049999999999997
-9.0,-3.375
-9.0,-2.6999999999999886
-9.0,-2.0249999999999915
-9.0,-1.3499999999999943
-9.0,-0.6749999999999972
-9.0,0.0
-9.0,0.6750000000000114
-9.0,1.3500000000000085
-9.0,2.0250000000000057
-9.0,2.700000000000003
-9.0,3.375
-9.0,4.050000000000011
-9.0,4.7250000000000085
-7.0,4.050000000000011
-7.0,3.375
-7.0,2.700000000000003
-7.0,2.0250000000000057
-7.0,1.3500000000000085
-7.0,0.6750000000000114
-7.0,0.0
-7.0,-0.6749999999999972
-7.0,-1.3499999999999943
-7.0,-2.0249999999999915
-7.0,-2.6999999999999886
-7.0,-3.375
-7.0,-4.049999999999997
-7.0,-4.724999999999994
-7.0,-5.3999999999999915
-7.0,-6.074999999999989
-7.0,-6.75
-7.0,-7.424999999999997
-7.0,-8.099999999999994
-7.0,-8.774999999999991
-7.0,-9.449999999999989
-7.0,-10.125
-7.0,-10.799999999999997
-7.0,-11.474999999999994
-7.0,-12.149999999999991
-7.0,-12.824999999999989
-5.0,-12.824999999999989
-5.0,-12.149999999999991
-5.0,-11.474999999999994
-5.0,-10.799999999999997
-5.0,-10.125
-5.0,-9.449999999999989
-5.0,-8.774999999999991
-5.0,-8.099999999999994
-5.0,-7.424999999999997
-5.0,-6.75
-5.0,-6.074999999999989
-5.0,-5.3999999999999915
-5.0,-4.724999999999994
-5.0,-4.049999999999997
-5.0,-3.375
-5.0,-2.6999999999999886
-5.0,-2.0249999999999915
-5.0,-1.3499999999999943
-5.0,-0.6749999999999972
-5.0,0.0
-5.0,0.6750000000000114
-5.0,1.3500000000000085
-5.0,2.0250000000000057
-5.0,2.700000000000003
-5.0,3.375
-5.0,4.050000000000011
-3.0,4.050000000000011
-3.0,3.375
-3.0,2.700000000000003
-3.0,2.0250000000000057
-3.0,1.3500000000000085
-3.0,0.6750000000000114
-3.0,0.0
-3.0,-0.6749999999999972
-3.0,-1.3499999999999943
-3.0,-2.0249999999999915
-3.0,-2.6999999999999886
-3.0,-3.375
-3.0,-4.049999999999997
-3.0,-4.724999999999994
-3.0,-5.3999999999999915
-3.0,-6.074999999999989
-3.0,-6.75
-3.0,-7.424999999999997
-3.0,-8.099999999999994
-3.0,-8.774999999999991
-3.0,-9.449999999999989
-3.0,-10.125
-3.0,-10.799999999999997
-3.0,-11.474999999999994
-3.0,-12.149999999999991
-1.0,-11.474999999999994
-1.0,-10.799999999999997
-1.0,-10.125
-1.0,-9.449999999999989
